Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Airport West,2/49 McIntosh St,2,u,500,VB,Barry,4/3/2017,13.5,3042,2,1,1,168,86,2011,Moonee Valley,-37.7215,144.8864,Western Metropolitan,3464
Altona,3/25 Rayner St,2,u,620,SP,hockingstuart,14/05/2016,13.8,3018,2,1,1,168,,,Hobsons Bay,-37.8676,144.8202,Western Metropolitan,5301
Armadale,34a Rose St,2,h,1125,S,RT,17/09/2016,6.3,3143,3,1,2,169,,,Stonnington,-37.851,145.0161,Southern Metropolitan,4836
Ascot Vale,2 The Parade,2,h,965,S,Nelson,10/12/2016,5.9,3032,2,1,1,170,,,Moonee Valley,-37.7732,144.9206,Western Metropolitan,6567
Altona North,2/36 May St,3,h,675,S,hockingstuart,14/05/2016,11.1,3025,3,2,2,171,109,2012,Hobsons Bay,-37.8337,144.8554,Western Metropolitan,5132
Abbotsford,27 Charles St,2,h,1030,S,Biggin,30/07/2016,2.5,3067,2,1,1,172,81,1930,Yarra,-37.8086,144.9946,Northern Metropolitan,4019
Ascot Vale,4 The Parade,2,h,950,SP,Raine,7/5/2016,5.9,3032,2,1,1,173,102,1900,Moonee Valley,-37.7731,144.9206,Western Metropolitan,6567
Altona,5/8 David St,2,u,580,PI,Biggin,16/07/2016,13.8,3018,2,2,1,175,76,2013,Hobsons Bay,-37.8687,144.8268,Western Metropolitan,5301
Albert Park,2 Dundas Pl,3,h,2615,S,Cayzer,10/12/2016,3.3,3206,3,2,1,177,181,1880,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280
Avondale Heights,40a Herbert St,3,h,561,S,Nelson,16/04/2016,10.5,3034,3,1,1,177,,,Moonee Valley,-37.7664,144.8583,Western Metropolitan,4502
Balaclava,6 Blenheim St,3,h,1193,S,McGrath,18/06/2016,6.6,3183,3,1,1,178,100,1920,Port Phillip,-37.8663,144.9948,Southern Metropolitan,2952
Alphington,2c Hamilton St,3,h,865,SP,hockingstuart,22/05/2016,6.4,3078,3,1,1,180,131,2010,Darebin,-37.7802,145.0243,Northern Metropolitan,2211
Abbotsford,129 Charles St,2,h,941,S,Jellis,7/5/2016,2.5,3067,2,1,0,181,,,Yarra,-37.8041,144.9953,Northern Metropolitan,4019
Altona,2/119 Railway St N,3,u,605,S,Barlow,25/02/2017,13.8,3018,3,1,2,181,,,Hobsons Bay,-37.8659,144.822,Western Metropolitan,5301
Abbotsford,200 Nicholson St,2,h,1013,S,Nelson,28/05/2016,2.5,3067,2,1,0,182,82,1900,Yarra,-37.8021,144.9976,Northern Metropolitan,4019
Abbotsford,196 Nicholson St,3,h,955,S,Collins,17/09/2016,2.5,3067,3,1,0,183,,,Yarra,-37.8022,144.9975,Northern Metropolitan,4019
Albert Park,27 Barrett St,4,h,2140,S,Greg,27/06/2016,3.3,3206,3,2,1,183,145,1880,Port Phillip,-37.8434,144.9495,Southern Metropolitan,3280
Alphington,3/98 Grange Rd,2,u,820,S,Nelson,18/03/2017,6.4,3078,2,1,1,183,,,Darebin,-37.7747,145.0264,Northern Metropolitan,2211
Armadale,75 Sutherland Rd,3,h,1285,S,Marshall,25/02/2017,6.3,3143,3,1,2,186,80,1920,Stonnington,-37.8554,145.0173,Southern Metropolitan,4836
Airport West,145a Victory Rd,2,u,440,S,Barry,13/08/2016,13.5,3042,2,1,1,192,,,Moonee Valley,-37.7177,144.8787,Western Metropolitan,3464
Ashwood,2/6 Murra Ct,2,u,700,S,hockingstuart,22/08/2016,12.2,3147,2,1,2,192,88,2007,Monash,-37.8709,145.102,Southern Metropolitan,2894
Ascot Vale,1/91 Epsom Rd,2,u,545,S,Nelson,28/08/2016,5.9,3032,2,1,2,194,71,1900,Moonee Valley,-37.7772,144.9118,Western Metropolitan,6567
Ascot Vale,6 McCully St,3,h,970,S,Nelson,30/07/2016,5.9,3032,2,1,1,194,,,Moonee Valley,-37.7756,144.921,Western Metropolitan,6567
Abbotsford,45 William St,2,h,1173,S,Biggin,13/08/2016,2.5,3067,2,1,1,195,,,Yarra,-37.8084,144.9973,Northern Metropolitan,4019
Altona,1A Merritt Ct,3,t,705,S,hockingstuart,11/2/2017,13.8,3018,3,2,2,197,152,,Hobsons Bay,-37.8579,144.8181,Western Metropolitan,5301
Albert Park,29 Faussett St,2,h,2120,S,Greg,10/9/2016,3.3,3206,2,1,1,199,107,1900,Port Phillip,-37.8422,144.9554,Southern Metropolitan,3280
Ascot Vale,1 East St,3,t,1000,S,Nelson,27/11/2016,5.9,3032,3,2,2,200,144,2003,Moonee Valley,-37.7766,144.9277,Western Metropolitan,6567
Abbotsford,85 Turner St,2,h,1480,S,Biggin,3/12/2016,2.5,3067,2,1,1,202,,,Yarra,-37.7996,144.9984,Northern Metropolitan,4019
Albert Park,34 Richardson St,3,h,1801,S,hockingstuart,25/02/2017,3.3,3206,3,1,1,202,,,Port Phillip,-37.8429,144.9493,Southern Metropolitan,3280
Ashburton,1/17 Ashburn Gr,3,t,955,S,Buxton,3/12/2016,11,3147,3,2,2,203,,,Boroondara,-37.8655,145.0807,Southern Metropolitan,3052
Altona,3/20 Mulga St,3,u,577,S,Williams,23/04/2016,13.8,3018,3,2,1,205,113,2007,Hobsons Bay,-37.8684,144.815,Western Metropolitan,5301
Armadale,12 Willis St,3,h,2050,S,Marshall,4/3/2017,6.3,3143,3,2,1,205,116,1910,Stonnington,-37.8574,145.0281,Southern Metropolitan,4836
Armadale,31 Hume St,2,h,1900,VB,Jellis,18/03/2017,6.3,3143,2,2,0,207,,,Stonnington,-37.8571,145.0224,Southern Metropolitan,4836
Alphington,5/6 Yarralea St,3,h,1110,S,Jellis,3/9/2016,6.4,3078,3,2,2,208,,2013,Yarra,-37.7854,145.0325,Northern Metropolitan,2211
Albert Park,129 Kerferd Rd,3,h,1900,S,Greg,18/03/2017,3.3,3206,3,1,0,209,,1900,Port Phillip,-37.8468,144.9546,Southern Metropolitan,3280
Albert Park,112 Beaconsfield Pde,3,h,2850,PI,Buxton,4/3/2017,3.3,3206,3,2,0,211,198,1890,Port Phillip,-37.8481,144.9499,Southern Metropolitan,3280
Albert Park,86 Mills St,3,h,2000,VB,RT,16/04/2016,3.3,3206,3,2,1,211,147,1900,Port Phillip,-37.847,144.9575,Southern Metropolitan,3280
Altona,1/152 Blyth St,3,t,743,SP,Gunn&Co,12/11/2016,13.8,3018,3,2,2,211,176,,Hobsons Bay,-37.8698,144.816,Western Metropolitan,5301
Airport West,105a Victory Rd,3,h,612,S,Nelson,22/08/2016,13.5,3042,3,2,1,212,,,Moonee Valley,-37.7181,144.8824,Western Metropolitan,3464
Armadale,14 New St,3,h,1300,VB,Jellis,18/06/2016,6.3,3143,2,1,2,212,106,1900,Stonnington,-37.8542,145.0149,Southern Metropolitan,4836
Ashwood,2/53 Salisbury Rd,3,t,830,S,Barry,28/08/2016,12.2,3147,2,1,2,212,130,2012,Monash,-37.8723,145.1089,Southern Metropolitan,2894
Abbotsford,40 Nicholson St,3,h,1350,VB,Nelson,12/11/2016,2.5,3067,3,2,2,214,190,2005,Yarra,-37.8085,144.9964,Northern Metropolitan,4019
Ascot Vale,8 Geddes St,2,h,710,PI,Nelson,4/6/2016,5.9,3032,2,1,1,214,77,1890,Moonee Valley,-37.7776,144.9142,Western Metropolitan,6567
Ascot Vale,10 Ayr St,3,h,965,S,Alexkarbon,28/08/2016,5.9,3032,3,1,0,216,,,Moonee Valley,-37.7792,144.9297,Western Metropolitan,6567
Ashwood,1/7 Murra Ct,2,u,690,S,Ray,14/05/2016,12.2,3147,2,1,1,216,90,2003,Monash,-37.8711,145.1017,Southern Metropolitan,2894
Armadale,28 Cambridge St,3,h,1870,S,Hodges,4/3/2017,6.3,3143,3,1,1,217,116,1888,Stonnington,-37.8592,145.0182,Southern Metropolitan,4836
Abbotsford,10 Valiant St,2,h,1097,S,Biggin,8/10/2016,2.5,3067,3,1,2,220,75,1900,Yarra,-37.801,144.9989,Northern Metropolitan,4019
Avondale Heights,1/24 Bordeaux St,2,h,523,S,Nelson,24/09/2016,10.5,3034,2,1,1,220,101,1995,Moonee Valley,-37.756,144.8641,Western Metropolitan,4502
Altona,1/136 Queen St,2,u,580,S,Barlow,8/10/2016,13.8,3018,2,1,1,225,93,1988,Hobsons Bay,-37.8696,144.827,Western Metropolitan,5301
Ascot Vale,119 Roseberry St,2,h,750,SP,Maddison,4/6/2016,5.9,3032,2,1,1,226,92,1920,Moonee Valley,-37.7745,144.9093,Western Metropolitan,6567
Ascot Vale,51 Francis St,2,h,770,PI,Nelson,10/9/2016,5.9,3032,2,1,1,226,87,1900,Moonee Valley,-37.7774,144.9186,Western Metropolitan,6567
Ashburton,3/75 Victory Bvd,3,t,968,S,Jellis,18/06/2016,11,3147,3,1,1,227,,,Boroondara,-37.8709,145.0857,Southern Metropolitan,3052
Albert Park,70 Barrett St,3,h,2575,S,Greg,15/10/2016,3.3,3206,3,2,1,228,,,Port Phillip,-37.8445,144.9501,Southern Metropolitan,3280
Ascot Vale,1/17 Epsom Rd,2,u,685,S,Brad,7/11/2016,5.9,3032,2,1,2,228,90,1995,Moonee Valley,-37.7718,144.9066,Western Metropolitan,6567
Ascot Vale,33 Dalgety Dr,3,h,960,S,Walshe,10/12/2016,5.9,3032,3,2,2,229,,2011,Moonee Valley,-37.7778,144.9065,Western Metropolitan,6567
Altona,1/60 David St,3,u,605,S,Jas,10/12/2016,13.8,3018,3,2,2,230,,,Hobsons Bay,-37.8646,144.827,Western Metropolitan,5301
Albert Park,23 Finlay St,5,h,2100,S,Greg,10/12/2016,3.3,3206,5,2,1,237,,,Port Phillip,-37.8436,144.9557,Southern Metropolitan,3280
Abbotsford,16 William St,2,h,1310,S,Jellis,15/10/2016,2.5,3067,2,1,2,238,97,1890,Yarra,-37.809,144.9976,Northern Metropolitan,4019
Albert Park,49 Page St,3,h,2000,PI,Marshall,24/09/2016,3.3,3206,3,1,1,238,131,1890,Port Phillip,-37.8461,144.9528,Southern Metropolitan,3280
Airport West,1/80 Hawker St,3,t,700,S,Brad,4/3/2017,13.5,3042,3,2,2,239,134,2009,Moonee Valley,-37.7218,144.8837,Western Metropolitan,3464
Albert Park,44 Draper St,2,h,1810,PI,Greg,10/12/2016,3.3,3206,2,1,0,240,,,Port Phillip,-37.8379,144.9539,Southern Metropolitan,3280
Ascot Vale,62 Mirams St,3,h,890,SP,Brad,16/07/2016,5.9,3032,3,1,1,242,110,1920,Moonee Valley,-37.7765,144.9114,Western Metropolitan,6567
Balaclava,18 Linton St,4,h,1819,S,Gary,3/9/2016,6.6,3183,3,2,1,244,180,1900,Port Phillip,-37.8668,144.9928,Southern Metropolitan,2952
Abbotsford,124 Yarra St,3,h,1876,S,Nelson,7/5/2016,2.5,3067,4,2,0,245,210,1910,Yarra,-37.8024,144.9993,Northern Metropolitan,4019
Armadale,538a Orrong Rd,3,t,1586,S,RT,7/5/2016,6.3,3143,2,2,2,246,,,Stonnington,-37.8566,145.0116,Southern Metropolitan,4836
Armadale,40 New St,2,h,1210,S,Marshall,12/11/2016,6.3,3143,2,1,0,249,96,1910,Stonnington,-37.8543,145.016,Southern Metropolitan,4836
Altona North,1/256 Mason St,2,t,640,S,Williams,11/3/2017,11.1,3025,2,1,1,252,,1965,Hobsons Bay,-37.8397,144.8602,Western Metropolitan,5132
Altona North,268d Mason St,4,t,848,S,RT,27/06/2016,11.1,3025,4,3,1,252,,,Hobsons Bay,-37.8393,144.8568,Western Metropolitan,5132
Ascot Vale,17 Ascot St,2,h,705,PI,Nelson,27/06/2016,5.9,3032,2,1,3,252,108,1910,Moonee Valley,-37.7825,144.9206,Western Metropolitan,6567
Albert Park,3 Herbert St,3,h,1800,VB,Cayzer,10/9/2016,3.3,3206,3,1,1,253,,,Port Phillip,-37.8443,144.9579,Southern Metropolitan,3280
Ascot Vale,26 Milton St,3,h,933,S,Nelson,28/05/2016,5.9,3032,3,2,1,254,,,Moonee Valley,-37.7738,144.9215,Western Metropolitan,6567
Ascot Vale,11 Ascot St,2,h,955,S,Woodards,11/3/2017,5.9,3032,2,1,0,255,,,Moonee Valley,-37.7825,144.9208,Western Metropolitan,6567
Abbotsford,98 Charles St,2,h,1636,S,Nelson,8/10/2016,2.5,3067,2,1,2,256,107,1890,Yarra,-37.806,144.9954,Northern Metropolitan,4019
Ashwood,1/16 Raymond St,3,t,901,S,Jellis,27/11/2016,12.2,3147,3,2,2,256,134,2012,Monash,-37.8655,145.1096,Southern Metropolitan,2894
Avondale Heights,1/5 South Tce,3,u,500,S,Nelson,24/09/2016,10.5,3034,3,1,1,260,,1990,Moonee Valley,-37.7507,144.8576,Western Metropolitan,4502
Ascot Vale,70 Munro St,3,h,955,S,Brad,14/05/2016,5.9,3032,3,1,1,263,117,1910,Moonee Valley,-37.7753,144.9116,Western Metropolitan,6567
Avondale Heights,2/10 Military Rd,2,u,440,S,Nelson,18/03/2017,10.5,3034,2,1,1,263,,1999,Moonee Valley,-37.7697,144.8657,Western Metropolitan,4502
Airport West,1/43 Cameron St,3,u,752,S,Nelson,11/2/2017,13.5,3042,3,1,1,265,130,1993,Moonee Valley,-37.7302,144.8855,Western Metropolitan,3464
Altona,12 Spear Ct,3,t,605,S,hockingstuart,22/05/2016,13.8,3018,3,2,0,265,,,Hobsons Bay,-37.8583,144.8172,Western Metropolitan,5301
Ascot Vale,10 Fenton St,2,h,1053,S,Nelson,6/8/2016,5.9,3032,2,1,1,269,109,1900,Moonee Valley,-37.7748,144.929,Western Metropolitan,6567
Airport West,23 Hart St,2,h,603,S,Nelson,4/3/2017,13.5,3042,2,1,1,272,84,1950,Moonee Valley,-37.7294,144.888,Western Metropolitan,3464
Ascot Vale,21 Middle St,3,h,1130,S,Nelson,23/04/2016,5.9,3032,3,2,1,272,157,1900,Moonee Valley,-37.7774,144.928,Western Metropolitan,6567
Altona North,1/156 Chambers Rd,3,h,620,SP,Hunter,22/08/2016,11.1,3025,5,2,2,276,100,2010,Hobsons Bay,-37.8262,144.8443,Western Metropolitan,5132
Ashburton,16a Nicholas St,3,h,1100,PI,Marshall,8/10/2016,11,3147,3,3,2,276,178,2004,Boroondara,-37.8699,145.0778,Southern Metropolitan,3052
Ascot Vale,7 Francis St,3,h,1380,SP,Nelson,4/3/2017,5.9,3032,3,2,2,277,174,1910,Moonee Valley,-37.7777,144.9221,Western Metropolitan,6567
Ascot Vale,1 Bloomfield Rd,3,h,1305,S,Barry,28/05/2016,5.9,3032,2,1,1,278,166,1900,Moonee Valley,-37.7768,144.9223,Western Metropolitan,6567
Altona,1/265 Queen St,3,t,800,SP,hockingstuart,8/10/2016,13.8,3018,3,2,2,280,,1997,Hobsons Bay,-37.8734,144.8143,Western Metropolitan,5301
Ascot Vale,98 Epsom Rd,3,h,971,SP,Nelson,4/6/2016,5.9,3032,3,2,2,285,128,1900,Moonee Valley,-37.775,144.9091,Western Metropolitan,6567
Ascot Vale,25 Dalgety Dr,3,h,940,S,Jellis,26/07/2016,5.9,3032,3,2,2,285,172,2011,Moonee Valley,-37.7778,144.9061,Western Metropolitan,6567
Albert Park,60 Brooke St,2,h,1000,S,Cayzer,12/11/2016,3.3,3206,2,1,0,288,,,Port Phillip,-37.8407,144.9523,Southern Metropolitan,3280
Avondale Heights,16a Arbor Tce,3,u,665,S,Brad,16/04/2016,10.5,3034,3,2,1,289,,,Moonee Valley,-37.7644,144.8657,Western Metropolitan,4502
Airport West,1/37 Hillside Gr,3,h,600,S,Maddison,4/3/2017,13.5,3042,2,1,1,290,116,1980,Moonee Valley,-37.7273,144.8744,Western Metropolitan,3464
Altona,1/123 Blyth St,2,t,720,S,hockingstuart,4/2/2016,13.8,3018,2,1,2,292,125,2013,Hobsons Bay,-37.8687,144.8197,Western Metropolitan,5301
Airport West,37 North St,3,t,825,SP,Barry,19/11/2016,13.5,3042,3,2,1,293,102,1960,Moonee Valley,-37.72,144.8776,Western Metropolitan,3464
Ashburton,1/7 Y St,3,t,1710,S,Marshall,27/11/2016,11,3147,3,2,2,295,,1990,Boroondara,-37.8624,145.0798,Southern Metropolitan,3052
